Prioridade,URL,Cidade,Estado,Parque/Área,Trilha Principal,Nº Trilhas,Palavras Úteis (atual),Nota Qualidade (1-5),Motivo da Nota,FAQ,Intro Cidade,Volume Busca BR (1-10),Palavras Necessárias (adicionar),Prazo de Reescrita,Obs
1,/trilhas/cidades/fernando-de-noronha/,Fernando de Noronha,PE,Parque Nacional Marinho de Fernando de Noronha,Baía do Sancho,1,228,2,"Template puro; FAQ genérico; sem intro; destino premium com maior volume de busca",Genérico,Não,10,1000,Semana 1 — Urgente,"Destino aspiracional nº1 do Brasil; gap enorme entre demanda e conteúdo"
2,/trilhas/cidades/petropolis-teresopolis/,Petrópolis / Teresópolis,RJ,Parque Nacional da Serra dos Órgãos,Travessia Petrópolis x Teresópolis,1,230,2,"Template puro; FAQ genérico; a travessia mais buscada do Brasil sem conteúdo adequado",Genérico,Não,9,1000,Semana 1 — Urgente,"'Travessia Petrópolis Teresópolis' é busca head-term com enorme volume"
3,/trilhas/cidades/andarai-mucuge/,Andaraí / Mucugê,BA,Parque Nacional da Chapada Diamantina,Travessia do Vale do Pati,1,220,2,"Template puro; FAQ genérico; descrição da trilha boa mas sem contexto de cidade/logística",Genérico,Não,8,900,Semana 1,"3ª entrada da Chapada Diamantina — alta demanda por 'Travessia do Pati'"
4,/trilhas/cidades/barreirinhas-atins/,Barreirinhas / Atins,MA,Parque Nacional dos Lençóis Maranhenses,Travessia dos Lençóis Maranhenses,1,228,2,"Template puro; FAQ genérico; sem info de logística (acesso remoto/barco/4x4)",Genérico,Não,8,900,Semana 2,"Crescimento acelerado de busca por Lençóis Maranhenses"
5,/trilhas/cidades/alto-paraiso-de-goias/,Alto Paraíso de Goiás,GO,Parque Nacional da Chapada dos Veadeiros,Vale da Lua e Cachoeiras,1,235,2,"Template puro; FAQ genérico; Chapada dos Veadeiros tem demanda crescente",Genérico,Não,7,800,Semana 2,"Busca por 'trilhas Chapada dos Veadeiros' em alta"
6,/trilhas/cidades/cambara-do-sul/,Cambará do Sul,RS,Parque Nacional de Aparados da Serra,"Cânion Itaimbezinho + Cotovelo",2,270,2,"Melhor página da lista (2 trilhas); mas FAQ genérico e sem intro contextual",Genérico,Não,7,700,Semana 2,"Única página com 2 trilhas; menor gap a preencher"
7,/trilhas/cidades/sao-bento-do-sapucai/,São Bento do Sapucaí,SP,Complexo do Baú,Pedra do Baú,1,225,2,"Template puro; mercado SP com bom volume de busca local",Genérico,Não,6,750,Semana 2,"Alto tráfego potencial via público paulista"
8,/trilhas/cidades/vale-do-capao-palmeiras/,Vale do Capão / Palmeiras,BA,Parque Nacional da Chapada Diamantina,Cachoeira da Fumaça,1,232,2,"Template puro; 2ª maior cachoeira livre do Brasil sem destaque editorial",Genérico,Não,7,800,Semana 2,"4ª entrada da Chapada Diamantina — busca por 'Cachoeira da Fumaça'"
9,/trilhas/cidades/palmeiras/,Palmeiras,BA,Parque Nacional da Chapada Diamantina,Morro do Pai Inácio,1,213,2,"Template puro; menor contagem de palavras úteis; ponto muito popular",Genérico,Não,7,800,Semana 2,"'Morro do Pai Inácio pôr do sol' = busca de alto volume"
10,/trilhas/cidades/alto-caparao/,Alto Caparaó,MG,Parque Nacional do Caparaó,Pico da Bandeira,1,230,2,"Template puro; FAQ genérico; Pico da Bandeira tem boa demanda nacional",Genérico,Não,4,750,Semana 3,"Busca sazonal alta (julho/agosto)"
11,/trilhas/cidades/passa-quatro-itamonte/,Passa Quatro / Itamonte,MG,APA da Serra da Mantiqueira,Travessia Serra Fina,1,238,2,"Template puro; trilha icônica ('mais difícil do Brasil') sem aprofundamento",Genérico,Não,6,800,Semana 3,"'Serra Fina' é busca de alta intenção entre trilheiros experientes"
12,/trilhas/cidades/chapada-dos-guimaraes/,Chapada dos Guimarães,MT,Parque Nacional da Chapada dos Guimarães,Circuito das Cachoeiras,1,232,2,"Template puro; destino regional com base de turistas do Centro-Oeste",Genérico,Não,5,750,Semana 3,"Crescimento turístico de Cuiabá alimenta buscas"
13,/trilhas/cidades/campina-grande-do-sul-antonina/,Campina Grande do Sul / Antonina,PR,Parque Estadual Pico Paraná,Pico Paraná,1,248,2,"Template puro; nicho sul-brasileiro; URL composta dificulta rankeamento",Genérico,Não,5,750,Semana 3,"Audiência concentrada no Sul; busca por 'Pico Paraná como chegar'"
14,/trilhas/cidades/imbituba/,Imbituba,SC,APA da Baleia Franca,Trilha das Praias - Rosa Norte a Sul,1,215,2,"Template puro; menor contagem de palavras; sazonalidade (jul-nov)",Genérico,Não,4,700,Semana 4,"Oportunidade sazonal: baleias-franca (jul-nov)"
15,/trilhas/cidades/uiramuta/,Uiramutã,RR,Parque Nacional Monte Roraima,Monte Roraima,1,215,2,"Template puro; destino de altíssimo valor mas muito nichado; logística complexa exige texto rico",Genérico,Não,4,900,Semana 4,"Apesar do nicho, ticket alto e público qualificado"
16,/trilhas/cidades/paracuru/,Paracuru,CE,APA das Dunas de Paracuru,Lençóis de Paracuru,1,216,2,"Template puro; destino de nicho; menor volume de busca da lista",Genérico,Não,3,650,Semana 4,"Menor prioridade; pode ser aproveitado após acúmulo de outras Ceará"
